"Date","Close","TQQQ"
"2020-08-30T21:00:00.000Z","35.41",""
"2020-09-06T21:00:00.000Z","30.43",""
"2020-09-13T21:00:00.000Z","29.12",""
"2020-09-20T21:00:00.000Z","30.61",""
"2020-09-27T21:00:00.000Z","31.43",""
"2020-10-04T21:00:00.000Z","35.28",""
"2020-10-11T21:00:00.000Z","36.28",""
"2020-10-18T21:00:00.000Z","34.83",""
"2020-10-25T22:00:00.000Z","29.36",""
"2020-11-01T22:00:00.000Z","37.85",""
"2020-11-08T22:00:00.000Z","36.28",""
"2020-11-15T22:00:00.000Z","36.07",""
"2020-11-22T22:00:00.000Z","39.30",""
"2020-11-29T22:00:00.000Z","41.90",""
"2020-12-06T22:00:00.000Z","40.33",""
"2020-12-13T22:00:00.000Z","43.58",""
"2020-12-20T22:00:00.000Z","43.66",""
"2020-12-27T22:00:00.000Z","45.45",""
"2021-01-03T22:00:00.000Z","47.57",""
"2021-01-10T22:00:00.000Z","44.34",""
"2021-01-17T22:00:00.000Z","50.26",""
"2021-01-24T22:00:00.000Z","45.24",""
"2021-01-31T22:00:00.000Z","52.65",""
"2021-02-07T22:00:00.000Z","55.06",""
"2021-02-14T22:00:00.000Z","52.41",""
"2021-02-21T22:00:00.000Z","44.61",""
"2021-02-28T22:00:00.000Z","41.88",""
"2021-03-07T22:00:00.000Z","44.26",""
"2021-03-14T22:00:00.000Z","43.24",""
"2021-03-21T22:00:00.000Z","44.33",""
"2021-03-28T21:00:00.000Z","47.95",""
"2021-04-04T21:00:00.000Z","53.63",""
"2021-04-11T21:00:00.000Z","55.90",""
"2021-04-18T21:00:00.000Z","54.53",""
"2021-04-25T21:00:00.000Z","53.83",""
"2021-05-02T21:00:00.000Z","51.90",""
"2021-05-09T21:00:00.000Z","47.99",""
"2021-05-16T21:00:00.000Z","48.22",""
"2021-05-23T21:00:00.000Z","51.29",""
"2021-05-30T21:00:00.000Z","51.99",""
"2021-06-06T21:00:00.000Z","54.61",""
"2021-06-13T21:00:00.000Z","55.19",""
"2021-06-20T21:00:00.000Z","58.76",""
"2021-06-27T21:00:00.000Z","63.36",""
"2021-07-04T21:00:00.000Z","64.57",""
"2021-07-11T21:00:00.000Z","62.76",""
"2021-07-18T21:00:00.000Z","68.28",""
"2021-07-25T21:00:00.000Z","66.37",""
"2021-08-01T21:00:00.000Z","68.21",""
"2021-08-08T21:00:00.000Z","68.57",""
"2021-08-15T21:00:00.000Z","67.90",""
"2021-08-22T21:00:00.000Z","72.55",""
"2021-08-29T21:00:00.000Z","75.72",""
"2021-09-05T21:00:00.000Z","72.78",""
"2021-09-12T21:00:00.000Z","71.12",""
"2021-09-19T21:00:00.000Z","70.89",""
"2021-09-26T21:00:00.000Z","63.42",""
"2021-10-03T21:00:00.000Z","63.74",""
"2021-10-10T21:00:00.000Z","67.86",""
"2021-10-17T21:00:00.000Z","70.64",""
"2021-10-24T21:00:00.000Z","77.58",""
"2021-10-31T22:00:00.000Z","85.28",""
"2021-11-07T22:00:00.000Z","82.72",""
"2021-11-14T22:00:00.000Z","88.57",""
"2021-11-21T22:00:00.000Z","80.42",""
"2021-11-28T22:00:00.000Z","75.04",""
"2021-12-05T22:00:00.000Z","83.74",""
"2021-12-12T22:00:00.000Z","75.40",""
"2021-12-19T22:00:00.000Z","82.74",""
"2021-12-26T22:00:00.000Z","83.17",""
"2022-01-02T22:00:00.000Z","72.04",""
"2022-01-09T22:00:00.000Z","71.87",""
"2022-01-16T22:00:00.000Z","56.67",""
"2022-01-23T22:00:00.000Z","56.37",""
"2022-01-30T22:00:00.000Z","58.70",""
"2022-02-06T22:00:00.000Z","53.28",""
"2022-02-13T22:00:00.000Z","50.44",""
"2022-02-20T22:00:00.000Z","51.91",""
"2022-02-27T22:00:00.000Z","48.09",""
"2022-03-06T22:00:00.000Z","42.34",""
"2022-03-13T22:00:00.000Z","53.17",""
"2022-03-20T22:00:00.000Z","56.93",""
"2022-03-27T21:00:00.000Z","57.93",""
"2022-04-03T21:00:00.000Z","51.84",""
"2022-04-10T21:00:00.000Z","47.00",""
"2022-04-17T21:00:00.000Z","41.51",""
"2022-04-24T21:00:00.000Z","36.53",""
"2022-05-01T21:00:00.000Z","34.61",""
"2022-05-08T21:00:00.000Z","31.63",""
"2022-05-15T21:00:00.000Z","27.34",""
"2022-05-22T21:00:00.000Z","33.29",""
"2022-05-29T21:00:00.000Z","32.14",""
"2022-06-05T21:00:00.000Z","26.79",""
"2022-06-12T21:00:00.000Z","22.67",""
"2022-06-19T21:00:00.000Z","27.98",""
"2022-06-26T21:00:00.000Z","24.39",""
"2022-07-03T21:00:00.000Z","27.89",""
"2022-07-10T21:00:00.000Z","26.79",""
"2022-07-17T21:00:00.000Z","29.53",""
"2022-07-24T21:00:00.000Z","33.36",""
"2022-07-31T21:00:00.000Z","35.29",""
"2022-08-07T21:00:00.000Z","37.98",""
"2022-08-14T21:00:00.000Z","35.35",""
"2022-08-21T21:00:00.000Z","30.24",""
"2022-08-28T21:00:00.000Z","26.68",""
"2022-09-04T21:00:00.000Z","29.84",""
"2022-09-11T21:00:00.000Z","24.60",""
"2022-09-18T21:00:00.000Z","21.31",""
"2022-09-25T21:00:00.000Z","19.32",""
"2022-10-02T21:00:00.000Z","19.50",""
"2022-10-09T21:00:00.000Z","17.57",""
"2022-10-16T21:00:00.000Z","20.57",""
"2022-10-23T21:00:00.000Z","21.70",""
"2022-10-30T22:00:00.000Z","17.95",""
"2022-11-06T22:00:00.000Z","22.67",""
"2022-11-13T22:00:00.000Z","21.84",""
"2022-11-20T22:00:00.000Z","22.26",""
"2022-11-27T22:00:00.000Z","23.41",""
"2022-12-04T22:00:00.000Z","20.89",""
"2022-12-11T22:00:00.000Z","19.06",""
"2022-12-18T22:00:00.000Z","17.59",""
"2022-12-25T22:00:00.000Z","17.30",""
"2023-01-01T22:00:00.000Z","17.64",""
"2023-01-08T22:00:00.000Z","20.10",""
"2023-01-15T22:00:00.000Z","20.39",""
"2023-01-22T22:00:00.000Z","23.33",""
"2023-01-29T22:00:00.000Z","25.52",""
"2023-02-05T22:00:00.000Z","23.82",""
"2023-02-12T22:00:00.000Z","24.04",""
"2023-02-19T22:00:00.000Z","21.77",""
"2023-02-26T22:00:00.000Z","23.46",""
"2023-03-05T22:00:00.000Z","20.88",""
"2023-03-12T22:00:00.000Z","24.57",""
"2023-03-19T22:00:00.000Z","25.82",""
"2023-03-26T21:00:00.000Z","28.26",""
"2023-04-02T21:00:00.000Z","27.43",""
"2023-04-09T21:00:00.000Z","27.47",""
"2023-04-16T21:00:00.000Z","26.87",""
"2023-04-23T21:00:00.000Z","28.25",""
"2023-04-30T21:00:00.000Z","28.21",""
"2023-05-07T21:00:00.000Z","28.73",""
"2023-05-14T21:00:00.000Z","31.74",""
"2023-05-21T21:00:00.000Z","34.98",""
"2023-05-28T21:00:00.000Z","36.82",""
"2023-06-04T21:00:00.000Z","36.62",""
"2023-06-11T21:00:00.000Z","40.80",""
"2023-06-18T21:00:00.000Z","38.95",""
"2023-06-25T21:00:00.000Z","41.00",""
"2023-07-02T21:00:00.000Z","39.87",""
"2023-07-09T21:00:00.000Z","44.02",""
"2023-07-16T21:00:00.000Z","42.69",""
"2023-07-23T21:00:00.000Z","45.22",""
"2023-07-30T21:00:00.000Z","41.14",""
"2023-08-06T21:00:00.000Z","39.09",""
"2023-08-13T21:00:00.000Z","36.40",""
"2023-08-20T21:00:00.000Z","38.04",""
"2023-08-27T21:00:00.000Z","42.29",""
"2023-09-03T21:00:00.000Z","40.50",""
"2023-09-10T21:00:00.000Z","39.75",""
"2023-09-17T21:00:00.000Z","35.63",""
"2023-09-24T21:00:00.000Z","35.62",""
"2023-10-01T21:00:00.000Z","37.35",""
"2023-10-08T21:00:00.000Z","37.41",""
"2023-10-15T21:00:00.000Z","34.09",""
"2023-10-22T21:00:00.000Z","31.30",""
"2023-10-29T22:00:00.000Z","37.58",""
"2023-11-05T22:00:00.000Z","40.77",""
"2023-11-12T22:00:00.000Z","43.16",""
"2023-11-19T22:00:00.000Z","44.18",""
"2023-11-26T22:00:00.000Z","44.24",""
"2023-12-03T22:00:00.000Z","44.83",""
"2023-12-10T22:00:00.000Z","49.24",""
"2023-12-17T22:00:00.000Z","50.35",""
"2023-12-24T22:00:00.000Z","50.70",""
"2023-12-31T22:00:00.000Z","45.98",""
"2024-01-07T22:00:00.000Z","50.34",""
"2024-01-14T22:00:00.000Z","54.54",""
"2024-01-21T22:00:00.000Z","55.44",""
"2024-01-28T22:00:00.000Z","57.24",""
"2024-02-04T22:00:00.000Z","60.27",""
"2024-02-11T22:00:00.000Z","57.41",""
"2024-02-18T22:00:00.000Z","59.62",""
"2024-02-25T22:00:00.000Z","63.13",""
"2024-03-03T22:00:00.000Z","60.06",""
"2024-03-10T22:00:00.000Z","57.76",""
"2024-03-17T22:00:00.000Z","62.63",""
"2024-03-24T22:00:00.000Z","61.56",""
"2024-03-31T21:00:00.000Z","59.86",""
"2024-04-07T21:00:00.000Z","58.72",""
"2024-04-14T21:00:00.000Z","49.48",""
"2024-04-21T21:00:00.000Z","55.28",""
"2024-04-28T21:00:00.000Z","56.70",""
"2024-05-05T21:00:00.000Z","59.17",""
"2024-05-12T21:00:00.000Z","62.94",""
"2024-05-19T21:00:00.000Z","65.35",""
"2024-05-26T21:00:00.000Z","62.53",""
"2024-06-02T21:00:00.000Z","67.12",""
"2024-06-09T21:00:00.000Z","74.17",""
"2024-06-16T21:00:00.000Z","74.40",""
"2024-06-23T21:00:00.000Z","73.82",""
"2024-06-30T21:00:00.000Z","81.63",""
"2024-07-07T21:00:00.000Z","80.64",""
"2024-07-14T21:00:00.000Z","71.06",""
"2024-07-21T21:00:00.000Z","65.08",""
"2024-07-28T21:00:00.000Z","58.74",""
"2024-08-04T21:00:00.000Z","58.85",""
"2024-08-11T21:00:00.000Z","68.64",""
"2024-08-18T21:00:00.000Z","70.53",""
"2024-08-25T21:00:00.000Z","68.61",""
"2024-09-01T21:00:00.000Z","56.99",""
"2024-09-08T21:00:00.000Z","67.35",""
"2024-09-15T21:00:00.000Z","70.13",""
"2024-09-22T21:00:00.000Z","71.93",""
"2024-09-29T21:00:00.000Z","71.97",""
"2024-10-06T21:00:00.000Z","74.30",""
"2024-10-13T21:00:00.000Z","74.64",""
"2024-10-20T21:00:00.000Z","74.74",""
"2024-10-27T22:00:00.000Z","70.93",""
"2024-11-03T22:00:00.000Z","82.75",""
"2024-11-10T22:00:00.000Z","74.27",""
"2024-11-17T22:00:00.000Z","78.25",""
"2024-11-24T22:00:00.000Z","79.89",""
"2024-12-01T22:00:00.000Z","87.74",""
"2024-12-08T22:00:00.000Z","89.40",""
"2024-12-15T22:00:00.000Z","83.03",""
"2024-12-22T22:00:00.000Z","84.66",""
"2024-12-29T22:00:00.000Z","82.40",""
"2025-01-05T22:00:00.000Z","76.83",""
"2025-01-12T22:00:00.000Z","83.14",""
"2025-01-19T22:00:00.000Z","86.75",""
"2025-01-26T22:00:00.000Z","82.72",""
"2025-02-02T22:00:00.000Z","82.73",""
"2025-02-09T22:00:00.000Z","89.83",""
"2025-02-16T22:00:00.000Z","83.71",""
"2025-02-23T22:00:00.000Z","74.92",""
"2025-03-02T22:00:00.000Z","67.41",""
"2025-03-09T22:00:00.000Z","61.89",""
"2025-03-13T22:00:00.000Z","61.89",""