Date,Open,High,Low,Close,Volume
1/6/2023 16:00:00,8.53,8.96,7.97,8.86,431266
1/13/2023 16:00:00,9.19,9.98,8.99,9.97,703990
1/20/2023 16:00:00,9.93,10.4,9.28,9.96,460657
1/27/2023 16:00:00,10.15,11.38,10.08,11.22,1011959
2/3/2023 16:00:00,10.87,12.88,10.48,12.19,756534
2/10/2023 16:00:00,11.85,12.8,11.38,11.64,555943
2/17/2023 16:00:00,11.73,12.75,11.39,11.61,783726
2/24/2023 16:00:00,11.29,11.96,10.67,11.5,533467
3/3/2023 16:00:00,11.8,12.34,11.19,12.34,431377
3/10/2023 16:00:00,12.38,12.8,11.41,11.53,637892
3/17/2023 16:00:00,11.3,13.5,11.03,13.06,836976
3/24/2023 16:00:00,13.03,14.26,12.78,13.49,736970
3/31/2023 16:00:00,13.62,14.48,12.64,14.46,658485
4/6/2023 16:00:00,14.28,14.42,12.87,13.25,385558
4/14/2023 16:00:00,13.07,13.88,12.82,13.16,404272
4/21/2023 16:00:00,12.96,13.8,12.8,13.06,405327
4/28/2023 16:00:00,13,13.17,11.86,12.9,745316
5/5/2023 16:00:00,12.99,13.35,12.25,13.16,635910
5/12/2023 16:00:00,13.08,13.37,12.67,12.9,292947
5/19/2023 16:00:00,12.96,15.28,12.87,14.98,965767
5/26/2023 16:00:00,14.75,19.4,13.94,19.22,1534806
6/2/2023 16:00:00,20.34,21.04,18.39,19.18,818376
6/9/2023 16:00:00,18.94,19.73,18.35,19.07,608400
6/16/2023 16:00:00,19.45,22.3,19.45,21.43,777583
6/23/2023 16:00:00,21.43,21.67,19.73,19.85,483281
6/30/2023 16:00:00,20.1,21.25,19.38,21.12,718888
7/7/2023 16:00:00,21.29,21.56,19.8,20.41,394595
7/14/2023 16:00:00,20.5,24.01,20.35,22.54,801622
7/21/2023 16:00:00,22.83,24.16,21.8,21.96,549714
7/28/2023 16:00:00,22.16,23.98,21.74,23.83,588825
8/4/2023 16:00:00,24.09,24.11,21.45,21.99,598922
8/11/2023 16:00:00,22.3,22.53,19.1,19.26,830100
8/18/2023 16:00:00,19.06,21.26,18.73,19.61,563982
8/25/2023 16:00:00,20.11,23.34,19.92,20.65,824063
9/1/2023 16:00:00,21.08,23.41,20.35,22.87,839795
9/8/2023 16:00:00,22.61,23.14,20.65,20.93,309421
9/15/2023 16:00:00,21.47,21.48,19.68,19.82,368492
9/22/2023 16:00:00,19.27,20.04,17.86,18.27,446043
9/29/2023 16:00:00,18.12,19.77,17.92,19.26,492065
10/6/2023 16:00:00,19.36,20.32,18.62,20.24,519241
10/13/2023 16:00:00,19.7,21.83,19.4,20.1,629830
10/20/2023 16:00:00,20.02,20.75,17.7,17.7,623514
10/27/2023 16:00:00,17.5,18.65,16.26,16.81,929175
11/3/2023 16:00:00,16.87,20,16.07,19.74,828560
11/10/2023 16:00:00,19.88,22.08,19.45,22.03,943265
11/17/2023 16:00:00,21.82,23.55,21.54,23.44,663558
11/24/2023 13:15:00,23.5,24.41,22.85,22.89,576209
12/1/2023 16:00:00,22.81,23.55,21.64,22.34,567716
12/8/2023 16:00:00,21.78,22.91,21.07,22.75,720713
12/15/2023 16:00:00,23.11,27.02,22.95,26.59,1111663
12/22/2023 16:00:00,26.72,27.12,25.41,26.63,735381
12/29/2023 16:00:00,26.87,27.76,26.83,27.21,509604
1/5/2024 16:00:00,26.53,26.53,24.09,24.91,1031664
1/12/2024 16:00:00,25.41,28.35,25.3,27.9,964151
1/19/2024 16:00:00,28.15,32.76,27.57,32.76,1414787
1/26/2024 16:00:00,33.4,35.6,32.06,32.66,1726327
2/2/2024 16:00:00,32.87,34.79,31.27,34.52,1109330
2/9/2024 16:00:00,35.6,38.96,33.96,38.9,1650887
2/16/2024 16:00:00,39.11,40.65,36.29,38.83,1781429
2/23/2024 16:00:00,38.19,44.54,34.7,42.04,2061501
3/1/2024 16:00:00,42.99,47.29,40.99,47.11,1566928
3/8/2024 16:00:00,48.34,56.73,46.91,49.08,4187396
3/15/2024 16:00:00,47.59,51.06,45.45,46.63,1997904
3/22/2024 16:00:00,48.6,52.3,43.9,51.58,2331818
3/28/2024 16:00:00,50.43,53,47.93,49.58,1116337
4/5/2024 16:00:00,49.59,51.78,45.7,47.35,1710650
4/12/2024 16:00:00,47.9,49.57,44.54,46.6,1321472
4/19/2024 16:00:00,47.77,48.56,36.15,36.66,1841923
4/26/2024 16:00:00,37.74,45.71,36.67,45.34,1658723
5/3/2024 16:00:00,45.18,46.21,39.58,44.99,1350308
5/10/2024 16:00:00,45.77,47.79,45.18,46.47,1320962
5/17/2024 16:00:00,47.11,52.49,46.1,49.82,1903344
5/24/2024 16:00:00,50.64,58.75,50.56,58.72,1950685
5/31/2024 16:00:00,61.48,64.32,55.9,58.68,2287016
6/7/2024 16:00:00,61.84,69.51,59.19,66.25,2340638
6/14/2024 16:00:00,65.31,78.03,64.06,77.73,2087747
6/21/2024 16:00:00,79.18,85.07,71.34,73.3,2776309
6/28/2024 16:00:00,70.54,73.46,66.01,69.56,3063388
7/5/2024 16:00:00,69.69,76.06,65.96,73.36,1723196
7/12/2024 16:00:00,74.83,82.93,73.83,76.17,3036738
7/19/2024 16:00:00,77.41,78.25,62.74,63.14,3369240
7/26/2024 16:00:00,65.56,68.71,52.67,58.09,4226176
8/2/2024 16:00:00,58.8,62.02,45.45,48.97,6160477
8/9/2024 16:00:00,38.35,50.69,38,48.36,5159498
8/16/2024 16:00:00,48.94,63.09,48.8,62.75,3369887
8/23/2024 16:00:00,62.39,67.79,60.72,65.42,3273155
8/30/2024 16:00:00,65.05,66.43,56.26,59.19,2660821
9/6/2024 16:00:00,56.61,56.61,43.38,44.42,2553939
9/13/2024 16:00:00,45.85,57.13,44.7,56.71,3234803
9/20/2024 16:00:00,54.78,58.53,52.73,55.88,2448899
9/27/2024 16:00:00,56.14,65.05,55.06,60.3,2016281
10/4/2024 16:00:00,58.14,62.28,55.03,62.04,1737174
10/11/2024 16:00:00,61.49,68.75,61.49,68.22,1828459
10/18/2024 16:00:00,69.65,71.94,62.82,67.92,2273564
10/25/2024 16:00:00,67.67,71.59,65.63,69.16,2738747
11/1/2024 16:00:00,70.08,71.66,61.34,63.8,2083739
11/8/2024 16:00:00,64.54,75.35,63.5,73.81,2292273
11/15/2024 16:00:00,73.86,73.9,63.46,64.61,4120087
11/22/2024 16:00:00,63.59,71.28,61.9,65.3,4285205
11/29/2024 13:15:00,66,66,58.26,63,2585035
12/6/2024 16:00:00,63.51,68.88,63.39,66.94,3120217
12/13/2024 16:00:00,64.92,68.86,60.43,66.51,3728017
12/20/2024 16:00:00,67.17,69.3,60.5,64.52,5032924
12/27/2024 16:00:00,66.11,71.68,65.85,68.74,3090451
1/3/2025 16:00:00,66.13,72.23,64.82,71.9,3378116
1/10/2025 16:00:00,75,79.1,64.08,65.39,4344446
1/17/2025 16:00:00,61.37,70.12,61.16,69.73,2803141
1/24/2025 16:00:00,71.25,77.46,69.59,72.82,2545659
1/31/2025 16:00:00,58.27,60.52,50.88,55.29,8658122
2/7/2025 16:00:00,51.24,61.63,50.6,59.77,3564027
2/14/2025 16:00:00,60.44,66.21,59.85,66.02,2663576
2/21/2025 16:00:00,67.45,68.9,62.65,62.81,1862310